current_question,next_question
Q1,Q3
Q1,Q2
Q2,Q10
Q3,Q4
Q4,Q5
Q5,Q20
Q6,Q7
Q7,Q8
Q8,Q9
Q9,Q13
Q10,Q11
Q11,Q12
Q12,Q13
Q13,Q14
Q14,Q15
Q15,Q16
Q16,Q17
Q17,Q18
Q18,Q19
Q19,Q21
Q20,Q22
Q21,Q23
Q22,Q23
Q3,Q5
Q10,Q12
Q17,Q6
Q4,Q10
Q15,Q8
Q9,Q19
Q5,Q16
Q13,Q1
Q22,Q10
Q4,Q21
Q7,Q14
Q2,Q17
Q6,Q20
Q12,Q2
Q7,Q8
Q10,Q6
Q15,Q11
Q21,Q4
Q12,Q1
Q23,Q2
Q12,Q8
Q23,Q14
Q15,Q3
Q4,Q9
Q11,Q21
Q9,Q4
Q2,Q13
Q19,Q20
Q21,Q13
Q17,Q18
Q10,Q20
Q18,Q11
Q9,Q1
Q16,Q3
Q19,Q16
Q4,Q23
Q12,Q6
Q10,Q18
Q11,Q10
Q15,Q16
Q2,Q6
Q9,Q23
Q19,Q17
Q20,Q15
Q8,Q12
Q19,Q9
Q2,Q23
Q16,Q13
Q1,Q15
Q2,Q1
Q18,Q15
Q14,Q8
Q23,Q19
Q12,Q5
Q6,Q10
Q21,Q17
Q21,Q9
Q21,Q3
Q19,Q20
Q10,Q21
Q14,Q16
Q2,Q15
Q9,Q11
Q16,Q7
Q11,Q22
Q21,Q11
Q17,Q18
Q15,Q1
Q12,Q11
Q16,Q23
Q16,Q20
Q5,Q19
Q21,Q14
Q12,Q2
Q11,Q2
Q23,Q13
Q23,Q15
